"","inbred","condition","hours_elapsed","min","med","mean","max","sd","iqr"
"529","OH43E","ws",6,0.27333266,0.60879871,0.850233856,1.9181683,0.545519010519185,0.9888879225
"530","OH43E","ww",6,0.19044347,0.606253575,1.8778224155,4.6053877,1.71103688157631,3.016682985
"531","OH7B","ws",6,0,0.376541665,0.369948598,0.62574106,0.198153461601323,0.2640074525
"532","OH7B","ws",36,0,0.95704063,1.18193228,3.0671048,0.894158931154612,0.8376882575
"533","OH7B","ww",6,0.273467,0.387322625,0.466356911,0.8608448,0.195587683508335,0.118498355
"534","OH7B","ww",36,0.48302665,2.3217223,2.240132149,4.831061,1.36760330556922,1.5697808
"535","OS420","ws",6,0,0.28816325,0.277566114,0.53865504,0.16397856945985,0.20280358
"536","OS420","ws",36,0.8205989,1.24448875,1.306553325,1.959509,0.38641949104155,0.610480475
"537","OS420","ww",6,0.14595872,0.212831775,0.274610932,0.50226855,0.12760036466256,0.190665055
"538","OS420","ww",36,0.73736745,2.40075975,2.546435165,4.5187874,1.24197435820165,1.81668565
"539","P39","ws",6,0.59679246,1.94581855,2.140348656,3.7996655,1.28074618460543,2.5103701
"540","P39","ww",6,0.5811352,1.6512177,2.862816323,6.7045665,2.1772930778406,3.729116275
"541","PA762","ws",0,0.18189208,0.379505295,0.482514659,1.060582,0.308557599264616,0.40808998
"542","PA762","ws",30,0.27907753,2.1306102,2.098603183,3.0817385,0.781122221769175,0.779247375
"543","PA762","ww",0,0,0.43832655,0.491398806,1.34516,0.370014312797877,0.2387319925
"544","PA762","ww",30,1.6332003,4.38455025,4.0292409,5.4681706,1.20218070407264,0.96702695
"545","PA875","ws",6,0,0,0.004370365,0.04370365,0.0138203076062818,0
"546","PA875","ws",52.9752777777778,0,0.37569065,0.524904074,1.8695798,0.616399476764669,0.83720651
"547","PA875","ww",6,0,0.49882111,0.732888668,2.2910378,0.785758936224464,1.17869991
